objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
1,42101000101,44,1985,2024,530847.29,36378.87,12615.36,39739.16,619580.68,14081.38
2,42101000102,101,1978,2024,820955.23,99379.91,13716.89,98885.15,1032937.18,10227.1
3,42101000200,37,2007,2024,868076.53,62441.39,28874.09,84466.48,1043858.49,28212.39
4,42101000300,37,1982,2024,1106932.65,98902.82,21906.14,48330.4,1276695.62,34505.29
5,42101000401,34,1986,2024,878948.54,19132.63,3170.43,51649.97,952901.57,28026.52
6,42101000403,28,2018,2024,350822.35,17599.52,6085.31,43734.23,418241.41,14937.19
7,42101000404,5,2020,2024,74875.83,207.61,0,2220.4,77303.84,15460.77
8,42101000500,19,1978,2024,495371.93,40883.97,2034.32,27085.88,565376.1,29756.64
9,42101000600,14,1998,2024,762167.94,151284.39,14245.07,59391.92,987089.32,70506.38
10,42101000701,17,2021,2024,207412,2650.22,76.48,11608.77,221747.47,13043.97
11,42101000702,17,2009,2024,93616.61,5357.55,2082.93,14799.95,115857.04,6815.12
12,42101000801,15,2012,2024,75367.72,1328.16,928.96,3927.36,81552.2,5436.81
13,42101000803,61,2010,2024,466916.57,14150.74,4780.47,57703.56,544781.86,8930.85
14,42101000805,33,1998,2024,660786.71,59303.18,10363.68,39094.6,769548.17,23319.64
15,42101000806,28,2019,2024,683100.35,16550.71,5035.96,21338.12,726025.14,25929.47
16,42101000901,40,1978,2024,766701.25,48843.63,4703.45,20186.42,840434.75,21010.87
17,42101000902,19,1985,2024,960361.99,7706.46,1291.81,9527.83,978888.09,51520.43
18,42101001001,43,1984,2024,577584.92,19871.41,3350.76,25808.08,626615.17,14572.45
19,42101001002,75,1981,2024,1098810.25,41830.85,16640.59,115665.51,1272947.2,16972.63
20,42101001101,132,1994,2024,555402.89,27881.05,6773.06,42725.81,632782.81,4793.81
21,42101001102,18,2003,2024,352339.07,17025.52,4200.3,18310.63,391875.52,21770.86
22,42101001201,41,2011,2024,541467.38,39927.04,7934.46,41244.98,637651.26,15552.47
23,42101001203,12,2020,2024,60359.8,829.35,368.34,3887.89,65445.38,5453.78
24,42101001204,41,2014,2024,712409.43,24832.42,7718.21,44024.72,788984.78,19243.53
25,42101001301,91,1995,2024,1597501.37,111556.87,33865.36,93123.71,1836047.31,20176.34
