GEOID,TRACT,total_pop,poverty_pop,poverty_below,bachelors,foreign_born,median_age,pop_black,pop_white,pop_hispanic,pop_asian,total_hh,median_income,limited_english,english_only,median_home_value,housing_units,units_mortgage,occupied_units,vacant_units,renter_hh,owner_hh,family_hh,vacant_status,for_rent,for_sale,mortgage_under20k_over30pct,mortgage_20to35k_over30pct,mortgage_35to50k_over30pct,mortgage_50to75k_over30pct,mortgage_75kplus_over30pct,owner_costs_total,owner_under20k,owner_under20k_under20pct,owner_under20k_20to29pct,owner_under20k_over30pct,owner_20to35k,owner_20to35k_under20pct,owner_20to35k_20to29pct,owner_20to35k_over30pct,owner_35to50k,owner_35to50k_under20pct,owner_35to50k_20to29pct,owner_35to50k_over30pct,owner_50to75k,owner_50to75k_under20pct,owner_50to75k_20to29pct,owner_50to75k_over30pct,owner_75kplus,owner_75kplus_under20pct,owner_75kplus_20to29pct,owner_75kplus_over30pct,owner_zero_neg_income,owner_total,owner_15to24,owner_25to34,owner_35to44,owner_45to54,owner_55to59,owner_60to64,owner_65to74,owner_75to84,owner_85plus,area_sqmi,pop_density,geometry
42101001500,15,3251,3239,199,827,242,35.9,598,2185,155,266,1507,110859,1507,1248,568300,1634,652,1507,127,614,893,647,127,40,8,79,91,23,0,27,893,81,0,0,81,42,0,10,32,36,30,0,6,58,0,40,18,649,469,128,52,27,893,0,180,130,218,70,103,72,112,8,0.09249697537623824,35147.09520799268,"list(list(c(-75.165575, -75.160205, -75.157058, -75.156673, -75.155488, -75.153916, -75.152334, -75.152546, -75.152771, -75.156388, -75.160533, -75.165988, -75.165575, 39.943664, 39.942997, 39.942596, 39.942551, 39.942407, 39.942205, 39.942015, 39.941148, 39.940039, 39.940627, 39.941146, 39.94182, 39.943664)))"
42101001800,18,3300,3300,136,876,249,35.5,366,2494,128,185,1727,114063,1727,1406,605000,1849,746,1727,122,778,949,723,122,58,22,84,11,30,0,0,949,17,0,0,17,27,0,0,27,57,7,0,50,41,0,0,41,807,615,102,90,0,949,0,125,241,225,97,126,91,37,7,0.09345426973938475,35311.388224451235,"list(list(c(-75.166204, -75.165988, -75.160533, -75.156388, -75.152771, -75.153065, -75.153286, -75.156317, -75.157848, -75.16092, -75.16636, -75.166204, 39.940813, 39.94182, 39.941146, 39.940627, 39.940039, 39.938763, 39.937736, 39.938569, 39.938982, 39.939367, 39.94003, 39.940813)))"
42101002802,28.02,5720,5710,1047,1433,1402,38.3,383,3691,759,1103,2396,78871,2396,1716,350600,2530,979,2396,134,927,1469,1508,134,0,0,34,103,91,0,0,1469,73,0,0,73,196,17,50,129,156,94,34,28,118,84,0,34,926,776,119,31,0,1469,0,204,425,297,71,141,197,114,20,0.1400308339195253,40848.14636815804,"list(list(c(-75.16735, -75.163504, -75.159517, -75.157578, -75.158393, -75.159204, -75.162338, -75.165483, -75.16735, 39.926579, 39.92983, 39.9331, 39.932837, 39.929177, 39.925511, 39.92592, 39.926333, 39.926579)))"
42101004001,40.01,4029,4029,840,835,614,36.1,140,3223,387,289,2013,61583,2013,1640,296400,2147,660,2013,134,977,1036,1042,134,48,0,26,139,54,0,0,1036,191,0,14,177,100,20,4,76,80,5,33,42,99,59,0,40,554,472,22,60,12,1036,0,183,171,271,122,18,106,132,33,0.12287977879383861,32788.144962074264,"list(list(c(-75.170023, -75.169744, -75.169499, -75.16735, -75.165483, -75.162338, -75.162876, -75.163142, -75.163412, -75.166563, -75.170309, -75.170023, 39.923138, 39.924409, 39.925531, 39.926579, 39.926333, 39.92592, 39.923489, 39.922263, 39.921015, 39.921418, 39.921885, 39.923138)))"
42101006300,63,4415,4410,1740,87,1082,32.8,3634,182,326,273,1659,32347,1659,1138,76600,2026,184,1659,367,1122,537,926,367,82,0,32,55,42,9,0,537,126,0,25,101,128,81,0,47,128,75,32,21,60,34,19,7,75,75,0,0,20,537,0,45,65,269,66,0,60,6,26,0.21408444861745557,20622.70299646613,"list(list(c(-75.246856, -75.239671, -75.23816, -75.236833, -75.235594, -75.234328, -75.233121, -75.232438, -75.234991, -75.236789, -75.239511, -75.241088, -75.243278, -75.244935, -75.246308, -75.246856, 39.918759, 39.923779, 39.924839, 39.925765, 39.92664, 39.925573, 39.924558, 39.92397, 39.922169, 39.920899, 39.918979, 39.917868, 39.916346, 39.91545, 39.917176, 39.918759)))"
42101007700,77,1815,1183,265,374,278,26.4,364,984,97,273,722,48581,722,575,289700,811,43,722,89,641,81,209,89,21,0,7,7,7,0,0,81,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,6,74,59,9,6,0,81,0,6,6,18,13,8,19,0,11,0.12631951062459446,14368.32672186286,"list(list(c(-75.21292, -75.209259, -75.208044, -75.205759, -75.205656, -75.207046, -75.205373, -75.20506, -75.207838, -75.208799, -75.207649, -75.211401, -75.210103, -75.211389, -75.21292, 39.949065, 39.949541, 39.949748, 39.949832, 39.948053, 39.946754, 39.945058, 39.943624, 39.941286, 39.941644, 39.942475, 39.945802, 39.946697, 39.947796, 39.949065)))"
42101008701,87.01,3374,3374,571,565,701,29.4,261,2111,119,723,1866,59722,1866,1342,579500,2075,222,1866,209,1591,275,405,209,75,0,0,0,0,0,0,275,0,0,0,0,30,15,0,15,0,0,0,0,39,0,0,39,206,168,38,0,0,275,0,0,59,99,38,41,0,38,0,0.09968279375019673,33847.3659602196,"list(list(c(-75.212716, -75.212393, -75.211916, -75.211677, -75.211039, -75.208128, -75.2086, -75.208761, -75.208999, -75.209264, -75.209326, -75.209259, -75.21292, -75.212716, 39.950292, 39.951811, 39.954096, 39.95524, 39.958276, 39.957915, 39.955636, 39.95488, 39.953733, 39.952522, 39.951436, 39.949541, 39.949065, 39.950292)))"
42101011000,110,2729,2729,1466,260,127,33.5,2340,231,106,14,1421,14983,1421,1316,107200,1840,92,1421,419,955,466,649,419,39,0,0,44,36,16,25,466,241,14,12,215,92,0,54,38,27,19,0,8,19,19,0,0,62,62,0,0,25,466,0,17,0,64,21,173,64,63,64,0.1924344621812813,14181.451539741192,"list(list(c(-75.213469, -75.209321, -75.20372, -75.199505, -75.198809, -75.198995, -75.201219, -75.203722, -75.205979, -75.208646, -75.212148, -75.212211, -75.213469, 39.977791, 39.97625, 39.974182, 39.974646, 39.974722, 39.971543, 39.970214, 39.970929, 39.971429, 39.972158, 39.973012, 39.973242, 39.977791)))"
42101011500,115,4881,4881,697,608,381,37.7,4279,357,133,0,1730,81154,1730,1555,157700,1901,1065,1730,171,277,1453,1230,171,23,0,137,99,114,0,0,1453,156,0,9,147,103,0,85,18,58,24,0,34,232,79,121,32,904,762,142,0,0,1453,0,12,380,323,197,209,306,25,1,0.1423806978318056,34281.33219129132,"list(list(c(-75.255918, -75.253929, -75.253104, -75.252544, -75.251063, -75.248944, -75.248628, -75.247797, -75.250203, -75.251914, -75.255196, -75.255661, -75.255918, 39.978122, 39.979067, 39.98018, 39.98077, 39.981601, 39.979106, 39.978707, 39.975079, 39.974815, 39.974623, 39.97426, 39.976755, 39.978122)))"
42101014000,140,5753,5738,1585,969,988,26.4,2487,2311,334,358,2308,59375,2308,1801,296400,2582,308,2308,274,1897,411,722,274,94,0,31,122,11,0,0,411,12,0,12,0,79,0,0,79,0,0,0,0,104,26,0,78,216,140,76,0,0,411,35,71,123,79,0,21,39,43,0,0.16953712948054958,33933.56970019964,"list(list(c(-75.16722, -75.166463, -75.164888, -75.163325, -75.16175, -75.158526, -75.158782, -75.159237, -75.159702, -75.164555, -75.167703, -75.16722, 39.973397, 39.976877, 39.976668, 39.976471, 39.976262, 39.97585, 39.974482, 39.972384, 39.970202, 39.970816, 39.971211, 39.973397)))"
