GEOID,geometry
42101001500,"list(list(c(-75.165575, -75.160205, -75.157058, -75.156673, -75.155488, -75.153916, -75.152334, -75.152546, -75.152771, -75.156388, -75.160533, -75.165988, -75.165575, 39.943664, 39.942997, 39.942596, 39.942551, 39.942407, 39.942205, 39.942015, 39.941148, 39.940039, 39.940627, 39.941146, 39.94182, 39.943664)))"
42101001800,"list(list(c(-75.166204, -75.165988, -75.160533, -75.156388, -75.152771, -75.153065, -75.153286, -75.156317, -75.157848, -75.16092, -75.16636, -75.166204, 39.940813, 39.94182, 39.941146, 39.940627, 39.940039, 39.938763, 39.937736, 39.938569, 39.938982, 39.939367, 39.94003, 39.940813)))"
42101002802,"list(list(c(-75.16735, -75.163504, -75.159517, -75.157578, -75.158393, -75.159204, -75.162338, -75.165483, -75.16735, 39.926579, 39.92983, 39.9331, 39.932837, 39.929177, 39.925511, 39.92592, 39.926333, 39.926579)))"
42101004001,"list(list(c(-75.170023, -75.169744, -75.169499, -75.16735, -75.165483, -75.162338, -75.162876, -75.163142, -75.163412, -75.166563, -75.170309, -75.170023, 39.923138, 39.924409, 39.925531, 39.926579, 39.926333, 39.92592, 39.923489, 39.922263, 39.921015, 39.921418, 39.921885, 39.923138)))"
42101006300,"list(list(c(-75.246856, -75.239671, -75.23816, -75.236833, -75.235594, -75.234328, -75.233121, -75.232438, -75.234991, -75.236789, -75.239511, -75.241088, -75.243278, -75.244935, -75.246308, -75.246856, 39.918759, 39.923779, 39.924839, 39.925765, 39.92664, 39.925573, 39.924558, 39.92397, 39.922169, 39.920899, 39.918979, 39.917868, 39.916346, 39.91545, 39.917176, 39.918759)))"
42101007700,"list(list(c(-75.21292, -75.209259, -75.208044, -75.205759, -75.205656, -75.207046, -75.205373, -75.20506, -75.207838, -75.208799, -75.207649, -75.211401, -75.210103, -75.211389, -75.21292, 39.949065, 39.949541, 39.949748, 39.949832, 39.948053, 39.946754, 39.945058, 39.943624, 39.941286, 39.941644, 39.942475, 39.945802, 39.946697, 39.947796, 39.949065)))"
42101008701,"list(list(c(-75.212716, -75.212393, -75.211916, -75.211677, -75.211039, -75.208128, -75.2086, -75.208761, -75.208999, -75.209264, -75.209326, -75.209259, -75.21292, -75.212716, 39.950292, 39.951811, 39.954096, 39.95524, 39.958276, 39.957915, 39.955636, 39.95488, 39.953733, 39.952522, 39.951436, 39.949541, 39.949065, 39.950292)))"
42101011000,"list(list(c(-75.213469, -75.209321, -75.20372, -75.199505, -75.198809, -75.198995, -75.201219, -75.203722, -75.205979, -75.208646, -75.212148, -75.212211, -75.213469, 39.977791, 39.97625, 39.974182, 39.974646, 39.974722, 39.971543, 39.970214, 39.970929, 39.971429, 39.972158, 39.973012, 39.973242, 39.977791)))"
42101011500,"list(list(c(-75.255918, -75.253929, -75.253104, -75.252544, -75.251063, -75.248944, -75.248628, -75.247797, -75.250203, -75.251914, -75.255196, -75.255661, -75.255918, 39.978122, 39.979067, 39.98018, 39.98077, 39.981601, 39.979106, 39.978707, 39.975079, 39.974815, 39.974623, 39.97426, 39.976755, 39.978122)))"
42101014000,"list(list(c(-75.16722, -75.166463, -75.164888, -75.163325, -75.16175, -75.158526, -75.158782, -75.159237, -75.159702, -75.164555, -75.167703, -75.16722, 39.973397, 39.976877, 39.976668, 39.976471, 39.976262, 39.97585, 39.974482, 39.972384, 39.970202, 39.970816, 39.971211, 39.973397)))"
